west_fork,_north_branch_chicago_river_@_dundee_rd. (42.138333333333335, -87.83491666666669) (1.0, 19, 0.75872093023255793, 0.0)
north_branch_chicago_river_@_diversey_ave. (41.931999999999995, -87.68233333333332) (0.9655172413793104, 29, 0.76222762554942469, 0.0)
north_shore_channel_@_touhy_ave. (42.0115, -87.71) (0.9615384615384616, 26, 0.76092392071461701, 0.038461538461538464)
north_shore_channel_@_foster_ave. (41.975716666666656, -87.70461666666668) (0.9615384615384616, 26, 0.88168846611177187, 0.038461538461538464)
des_plaines_river_@_material_service_rd. (41.59656666666667, -88.06853333333332) (0.9069767441860465, 43, 0.77265830533197877, 0.9302325581395349)
north_shore_channel_@_central_ave. (42.063833333333335, -87.68683333333334) (0.875, 16, 0.85007440476190477, 0.8125)
skokie_river_@_west_frontage_rd. (42.08886666666667, -87.7599) (0.8076923076923077, 26, 0.7671358084607296, 0.7692307692307693)
west_branch_dupage_river_@_springinsguth_rd. (42.00825, -88.11903333333332) (0.7941176470588235, 34, 0.86490299823633121, 0.08823529411764706)
west_branch_dupage_river_@_arlington_dr. (42.0498333333333, -88.18625) (0.7391304347826086, 23, 0.76124151843022181, 0.30434782608695654)
west_fork,_north_branch_chicago_river_@_golf_rd. (42.055116666666656, -87.77478333333332) (0.7272727272727273, 22, 0.76099098625140282, 0.36363636363636365)
des_plaines_river_@_lake_cook_rd. (42.1521, -87.9102) (0.7222222222222222, 36, 0.76779950636035699, 0.8888888888888888)

